number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
0.5k,61236.4,21374.920000000006,36002.99999999999,38703.68,40027.439999999995,41063.960000000014,41692.08000000001,42110.36000000001,42592.68,42971.280000000006,43315.66666666665
1k,64103.0,22558.92,35770.04000000001,40806.880000000005,42533.359999999986,43475.56000000001,44243.23999999999,44688.76000000001,45151.2,45509.48000000001,45719.53333333334
1.5k,65919.6,23289.51999999999,34002.399999999994,36279.359999999986,37443.919999999984,38184.23999999999,38899.79999999999,39434.03999999998,39719.240000000005,39926.640000000014,40088.53333333334
2k,66201.2,18949.72,34010.72,35980.08,36993.84,37787.55999999998,39241.31999999999,39726.28000000001,40157.360000000015,40471.08,40684.20000000001
2k+,74129.2,11062.119999999995,14314.759999999995,22563.40000000001,23560.600000000006,24364.72,24629.92,27325.800000000003,27642.08,27802.240000000005,29517.20000000001
