number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
0.5k,65083.0,1812.8800000000047,2159.959999999992,2451.920000000013,2720.5199999999895,2964.0399999999936,3154.0800000000017,3305.800000000003,3425.720000000001,3532.520000000004,3594.1333333333314
1k,67747.6,1642.8399999999965,1935.7199999999866,2171.959999999992,2443.2399999999907,2683.8800000000047,2774.0800000000017,2897.279999999999,3008.5199999999895,3132.5599999999977,3220.066666666651
1.5k,69244.6,1716.7599999999948,2108.039999999979,2300.359999999986,2480.199999999997,2668.199999999997,2830.0399999999936,3062.679999999993,3198.2399999999907,3306.079999999987,3373.866666666654
2k,69415.6,1667.3199999999924,2032.039999999979,2234.1199999999953,2481.7999999999884,2699.3199999999924,2844.279999999999,3078.6399999999994,3184.679999999993,3263.2799999999843,3322.5999999999913
2k+,80902.0,1396.6800000000076,1718.3999999999942,1958.6000000000058,2136.7600000000093,2241.24000000002,2335.3199999999924,2448.12000000001,2525.800000000003,2598.7600000000093,2739.5999999999913
