number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
0.5k,61144.0,1551.9599999999991,1733.719999999994,1882.9199999999983,1976.4000000000015,2050.280000000006,2124.0800000000017,2173.199999999997,2322.280000000006,2604.199999999997,2646.733333333337
1k,63787.0,1258.800000000003,1399.0,1433.3199999999924,1482.0800000000017,1516.3600000000006,1663.0,1673.199999999997,1704.8399999999892,1749.1600000000035,1794.3333333333285
1.5k,65756.4,1135.7200000000012,1165.1199999999953,1420.199999999997,1483.4800000000105,1548.2399999999907,1614.6399999999994,1650.9199999999983,1729.9199999999983,1787.7200000000012,2033.8666666666686
2k,64846.2,1070.6800000000076,1121.5599999999977,1142.7600000000093,1195.800000000003,1213.9199999999983,1244.840000000011,1522.9199999999983,1544.6000000000058,1547.0,1556.6000000000058
2k+,73038.2,1098.840000000011,1125.6000000000058,1174.3600000000006,1236.3199999999924,1253.6399999999994,1274.1199999999953,1276.1199999999953,1289.800000000003,1306.0,1320.0
