number,0h,2h,4h,6h,8h,10h,12h,14h,16h,18h,20h,22h,24h,Crashes
diecorpus,94840.53846,96209.61538,96963.46154,97403.92308,97639.61538,98352.30769,98907.07692,99143,99374.53846,99505.61538,99673.07692,99815.53846,99898.23077,506.2
NRC_property,95068.25,96629.25,97289.375,97690.75,97821,97916.5,98062.75,98464.75,98998.75,99498.5,99848.75,100038.875,100205.375,540.5
