number,0h,2h,4h,6h,8h,10h,12h,14h,16h,18h,20h,22h,24h
diecorpus,162911.0,164859.0,165835.84615384616,166767.6923076923,167365.92307692306,167905.3076923077,168427.61538461538,169006.0,169562.3076923077,169817.76923076922,170163.15384615384,170560.07692307694,170841.6923076923
NRC_property,163782.6923076923,166503.6923076923,167295.15384615384,167728.38461538462,168082.61538461538,168347.53846153847,168788.23076923078,169489.53846153847,169992.23076923078,170490.76923076922,170877.53846153847,171349.61538461538,171857.15384615384
