number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
100,51120.4,3054,4111.8,4607.68,4963.48,5316,5543.68,5753.36,6033.32,6214.32,6386.266667
300,60217,2635.08,3194.72,3665.64,3925.96,4115.52,4316.68,4591.72,4757.52,4920.04,5063.6
500,64962,1878.64,2410.44,2795.28,3124.56,3378.44,3558.2,3738.88,3859.6,3984.88,4066.533333
1000,71036.4,1522.04,1856.48,2201.16,2448.32,2637.6,2804.96,2982.96,3067.04,3152.72,3248.466667
2000,77065.8,1333.48,1593.12,1796.2,2051.28,2234.08,2333.76,2426.96,2533.84,2595.64,2701.066667
