number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
100,43654,1828.55,1913.1,2196.85,2227.35,2261.8,2278.3,2364.5,2430.6,2545.6,2705.083333
300,50477.2,1497.68,1662.16,1699.76,1735,1779.32,1801.36,1864.52,1903.88,2093.2,2160.533333
500,57705.8,1349.08,1442.76,1566.76,1598.64,1716.92,1761.88,1806.68,1849.96,1880.64,1968.2
1000,61594,1225.2,1280,1303.84,1314.76,1405.04,1486.32,1555.68,1569.96,1658.08,1710.4
2000,67666.4,1132.76,1178.8,1201.12,1214.28,1230.04,1237.16,1257,1361,1430.84,1486.466667
