number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h,crashes
100,49885.6,12686.64,15316.8,16654,17360.72,17852,18309.24,18799.56,19055.16,19413.52,19738.53333,69.8
300,61391.2,7213.28,9194.28,10345.68,11370.32,12164.68,12659.84,13032.32,13301.84,13726.16,14140.26667,67.8
500,65774,6053.2,7384.16,8399.32,9292.88,9905.36,10511.48,10958.6,11366.4,11650.04,12068.66667,69.2
1000,71274.8,4378.32,5435.48,6326.24,6909.36,7449.68,7933.08,8333.68,8608.8,8939.52,9252.666667,82.4
2000,77100.4,2878.28,3669.28,4274.64,4692.68,5245.68,5548.96,5869.36,6052.8,6269.88,6566.266667,64.2
