number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
100,49919.4,20527.24,25167.08,28143.56,29229.24,30402.32,30910.52,31418.4,35467.56,37419.32,37874.8
300,59051.6,20111.92,24544.36,27895.96,29778.16,30912.76,31532.24,32067.48,32319.8,32564.08,34724.53333
500,63005.8,19119.12,26947.76,28166.16,29136.84,30021.24,32264.84,32720.12,33122.76,33388.44,33565.4
1000,69173,18899.76,27030,27849.88,28639.36,31113.76,31710.84,32000.4,33495.44,34061.68,34534.53333
2000,75274.2,19003.96,24124.4,25481.2,29932.2,30627.08,31152.68,31520.72,31783.2,32038.96,32187.2
