number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
num_0,106385.0,10558.0,12932.0,13192.0,13974.0,14444.0,15382.0,15493.0,15713.0,16105.0,16497.0
num_1,121817.0,6790.0,7966.0,8193.0,8676.0,9292.0,9395.0,9822.0,10280.0,10357.0,12624.0
num_2,127370.0,6874.0,8296.0,9466.0,9840.0,10015.0,10386.0,11309.0,12059.0,12090.0,12301.0
num_3-5,130040.0,4776.0,5672.0,6355.0,6576.0,7148.0,7675.0,7872.0,8400.0,8870.0,9322.0
num_5+,131434.0,4425.0,5831.0,6295.0,6972.0,7482.0,7604.0,8280.0,9173.0,9498.0,9868.0
