number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
num_0,103055.6,444.3999999999942,544.1999999999971,617.3999999999942,771.1999999999971,802.7999999999884,844.5999999999913,881.1999999999971,961.7999999999884,981.0,1014.0
num_1,117889.0,487.8000000000029,557.0,658.8000000000029,732.8000000000029,857.1999999999971,911.8000000000029,975.3999999999942,1014.1999999999971,1032.800000000003,1048.0
num_2,121455.4,372.0,515.4000000000087,593.2000000000116,724.8000000000029,777.2000000000116,866.4000000000087,888.2000000000116,926.4000000000087,959.6000000000058,980.2000000000116
num_3-5,124519.8,385.8000000000029,574.5999999999913,593.8000000000029,645.5999999999913,668.1999999999971,723.0,765.5999999999913,817.0,844.8000000000029,872.3999999999942
num_5+,122921.0,547.1999999999971,700.0,763.6000000000058,857.3999999999942,898.0,919.0,934.1999999999971,1005.8000000000029,1148.0,1162.800000000003
