number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
num_0,105024.8,1613.5999999999913,2429.0,3041.5999999999913,3611.0,4162.199999999997,4544.199999999997,5065.800000000003,5571.800000000003,6073.399999999994,6276.599999999991
num_1,124247.4,432.6000000000058,815.8000000000029,1086.0,1466.800000000003,1705.4000000000087,1857.4000000000087,2151.2000000000116,2319.800000000003,2537.600000000006,2741.2000000000116
num_2,126420.8,426.59999999999127,732.3999999999942,977.5999999999913,1265.3999999999942,1459.800000000003,1690.199999999997,2008.199999999997,2189.800000000003,2369.399999999994,2545.800000000003
num_3-5,128505.0,338.0,618.1999999999971,854.1999999999971,987.6000000000058,1155.199999999997,1401.6000000000058,1538.6000000000058,1735.3999999999942,1871.800000000003,1927.0
num_5+,131922.4,297.3999999999942,474.0,582.2000000000116,720.6000000000058,833.8000000000175,975.3999999999942,1123.8000000000175,1302.3999999999942,1389.6000000000058,1524.8000000000175
