number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
num_0,107076.8,36023.999999999985,38990.2,41294.2,43003.59999999999,44957.2,45853.2,47022.59999999999,47855.8,48558.59999999999,48815.40000000001
num_1,122307.4,34565.80000000002,38268.20000000001,43384.600000000006,44606.600000000006,45502.80000000002,46002.80000000002,46655.600000000006,47262.600000000006,47594.20000000001,47951.20000000001
num_2,122020.6,35600.19999999998,38335.0,40126.399999999994,41406.79999999999,42316.399999999994,45634.399999999994,46260.399999999994,46811.399999999994,47119.600000000006,47314.79999999999
num_3-5,122998.6,33550.79999999999,35855.79999999999,37313.19999999998,41604.0,42727.0,43238.0,43967.399999999994,44413.19999999998,47524.399999999994,47948.19999999998
num_5+,125063.8,27233.199999999997,27904.40000000001,28837.40000000001,29380.999999999985,30724.40000000001,31493.800000000003,35363.40000000001,36274.999999999985,36730.999999999985,37121.999999999985
