number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
num_0,63382.5,605.0,1096.5,1481.0,1747.0,1991.0,2141.0,2260.0,2400.5,2505.5,2778.5
num_0+,66283.0,527.5,851.0,1086.5,1415.0,1501.0,1637.0,1775.0,1876.0,2078.0,2193.0
