number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
num_0,61159.5,15252.5,17317.5,24307.0,25925.0,38628.5,40455.5,41881.5,43649.0,44243.5,44962.5
num_0+,63274.5,16490.0,22562.5,23529.5,36687.0,39357.5,40192.5,40955.0,41804.0,42144.0,42537.0
