number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
100,73370.2,1479,1704.32,2451.28,2505.84,2659.12,3201.24,3480.48,3555.84,3655.36,3891.066667
300,86363,1392.15,2003.35,2136.85,2280.8,2314.4,2594.1,2804.2,2944.35,3288.6,3861.333333
500,89366.4,635.64,771.96,1014,1306.68,1418.92,1484.16,1613.36,1666.88,1724.68,1783.933333
1000,122486.4,891.44,1089.12,1349.08,1421.76,1699.68,1896.8,2205.04,2340.24,2404.64,2519.4
2000,116124.2,594.48,857.52,925.84,1021.2,1137.64,1269.4,1297.76,1407.76,1531.56,1553.6
