number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
100,90522.75,21653.850000000006,25782.550000000003,30819.0,32871.899999999994,34794.899999999994,36616.5,37708.399999999994,38779.649999999994,39648.149999999994,40508.25
300,108348.0,12725.933333333349,17412.66666666667,22221.866666666654,24149.666666666686,25414.06666666668,26336.399999999965,27535.466666666674,28340.466666666645,29160.733333333337,29916.333333333343
500,117940.33333333333,8295.599999999991,11931.0,14719.199999999997,16836.866666666683,18039.59999999999,19364.53333333331,20412.800000000003,21470.800000000003,22221.40000000001,22722.88888888889
1000,130173.33333333333,4985.199999999997,7319.733333333352,9733.333333333358,11228.066666666666,12445.800000000032,13765.53333333334,14881.133333333317,15458.066666666666,15912.266666666648,16313.111111111139
2000,138245.5,3529.5,5501.049999999988,6755.200000000012,7766.799999999988,8594.149999999994,9417.950000000012,10215.149999999994,10738.450000000012,11133.950000000012,11536.916666666657
