number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
100,88811.8,42274.48,46584.84,49735.16,51455.64,52539.32,53833.72,54706.72,55495.2,55893.2,59088
300,107435.4,38572.16,41745.6,43956.88,45542.88,46610.44,48233.8,53345.04,54096.96,54662.84,55038.73333
500,115975.6,37082.08,39507.08,41516.72,42842.48,43810.72,44799.92,45385.88,45920.56,46497,52077.73333
1000,127787.8,35825.04,38787.72,40560.88,41646.12,42469.6,43014.68,43663.56,44143.52,44581.12,44908.26667
2000,136654.6,33020.08,35696.92,37279.6,38318.88,41438.64,42204,42785.32,43281.88,43731.36,44057.2
