number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
100,90016.6,1607.8,2936.44,3497.44,4829,5370.76,6082.52,6778.48,7159.32,7607.04,7894.866667
300,109901.6,866.48,1505.32,2039.6,2386.36,2926.92,3075.24,3337.84,3628.76,3881.4,4041.666667
500,118982,556.92,1056.16,1466.68,1788.8,2042.04,2239.32,2578.4,2835.16,3027.64,3187.866667
1000,130446.2,419.28,824.64,1146.56,1358.52,1530.8,1714.28,1941.28,2075.88,2175.12,2350.866667
2000,138373.2,124.8,315.56,458.24,665.08,807.56,909.48,995.72,1089.32,1192.36,1342
