number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
num_0,111579.0,860.5,1476.5,2077.0,2355.0,2674.5,3111.0,3594.0,3816.5,4036.5,4533.0
num_0+,113662.0,582.5,1414.5,2523.0,2722.5,3232.5,3791.5,3994.5,4193.5,4554.5,4683.0
