number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
num_0,112018.5,37456.0,40627.5,43750.0,44863.5,45934.0,46840.0,47969.5,48694.5,49163.0,50087.0
num_0+,116623.0,35689.5,38749.0,42039.0,43081.0,44549.0,52261.5,53465.0,54378.5,54808.5,55337.0
