number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
num_0,86471.0,449.8000000000029,637.3999999999942,754.6000000000058,841.6000000000058,936.6000000000058,973.8000000000029,1017.3999999999942,1095.199999999997,1201.3999999999942,1220.0
num_1,122165.4,456.0,569.4000000000087,715.8000000000029,809.4000000000087,865.8000000000029,962.2000000000116,1023.2000000000116,1109.2000000000116,1143.2000000000116,1162.6000000000058
num_2,129515.2,547.4000000000087,662.8000000000029,867.8000000000029,980.4000000000087,1180.4000000000087,1211.4000000000087,1231.4000000000087,1354.0,1401.800000000003,1460.0
num_2+,135140.6,362.0,465.19999999998254,500.3999999999942,544.0,590.1999999999825,618.0,620.6000000000058,843.6000000000058,850.6000000000058,864.1999999999825
