number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
num_0,87928.0,47435.0,53256.399999999994,56649.0,58188.20000000001,59246.79999999999,62981.20000000001,63867.79999999999,64498.399999999994,65250.0,65565.0
num_1,124014.0,35971.20000000001,39308.20000000001,41243.20000000001,45871.79999999999,46890.79999999999,47439.0,48056.600000000006,48532.399999999994,48989.399999999994,49205.20000000001
num_2,132863.0,34774.79999999999,37386.20000000001,38757.20000000001,39810.20000000001,40573.20000000001,41007.399999999994,41646.79999999999,42016.79999999999,42342.79999999999,42637.79999999999
num_2+,141547.6,30651.79999999999,32071.79999999999,32729.399999999994,33637.0,34370.399999999994,34797.79999999999,35555.19999999998,35842.19999999998,36065.79999999999,36204.19999999998
