number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
num_0,86753.4,707.8000000000029,1617.0,1879.2000000000116,2022.0,2332.800000000003,2422.2000000000116,2556.4000000000087,2704.800000000003,2996.4000000000087,3173.0
num_1,123260.2,581.1999999999971,1275.199999999997,1691.199999999997,2040.0,2318.0,2545.0,2775.0,3008.800000000003,3254.4000000000087,3469.4000000000087
num_2,131651.0,383.6000000000058,682.3999999999942,914.7999999999884,1192.3999999999942,1465.6000000000058,1767.3999999999942,2000.3999999999942,2237.399999999994,2447.600000000006,2651.399999999994
num_2+,142572.0,200.0,454.79999999998836,706.3999999999942,849.7999999999884,974.3999999999942,1120.6000000000058,1265.2000000000116,1416.7999999999884,1557.6000000000058,1687.7999999999884
