number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
num_0,58703.0,14824.600000000006,21129.199999999997,26945.199999999997,30959.0,35918.8,36655.2,37492.399999999994,38170.399999999994,38646.0,39553.8
num_1,65323.0,23736.0,27624.600000000006,31865.0,33084.399999999994,34003.8,38044.399999999994,38832.8,39611.8,40088.2,40390.399999999994
num_2,66297.8,20151.399999999994,28116.59999999999,31848.0,36221.399999999994,37306.8,38006.0,38683.0,39193.399999999994,39599.399999999994,40039.399999999994
num_3-5,65978.4,18541.20000000001,31653.0,33575.8,35240.40000000001,36416.40000000001,37104.40000000001,37624.600000000006,38098.20000000001,38332.600000000006,38666.40000000001
num_5+,68752.8,12333.199999999997,20095.59999999999,23355.59999999999,27853.199999999997,32091.199999999997,32432.800000000003,32675.0,33045.399999999994,33241.0,33376.8
