number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
num_0,61049.4,1090.199999999997,1657.0,2163.0,2407.4000000000015,2548.5999999999985,2807.7999999999956,2996.199999999997,3141.4000000000015,3300.4000000000015,3508.7999999999956
num_1,67167.6,625.3999999999942,1164.3999999999942,1502.7999999999884,1764.5999999999913,1993.3999999999942,2267.399999999994,2463.0,2554.0,2660.7999999999884,2786.199999999997
num_2,68187.6,715.3999999999942,1183.3999999999942,1475.7999999999884,1694.0,1884.7999999999884,2051.0,2214.5999999999913,2255.0,2351.399999999994,2449.7999999999884
num_3-5,68942.0,654.8000000000029,1069.800000000003,1448.0,1660.0,1869.0,1988.3999999999942,2111.399999999994,2257.199999999997,2368.399999999994,2482.600000000006
num_5+,72827.4,641.2000000000116,1065.2000000000116,1328.2000000000116,1603.800000000003,1839.4000000000087,1987.6000000000058,2064.4000000000087,2117.800000000003,2322.600000000006,2469.600000000006
