number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
num_0,53575.2,332.6000000000058,412.8000000000029,418.8000000000029,465.0,509.6000000000058,535.8000000000029,551.8000000000029,563.6000000000058,564.8000000000029,574.8000000000029
num_1,57602.6,337.0,386.8000000000029,392.59999999999854,428.40000000000146,448.40000000000146,457.8000000000029,461.8000000000029,478.59999999999854,522.4000000000015,535.2000000000044
num_2,58414.2,519.2000000000044,620.4000000000015,628.4000000000015,650.8000000000029,684.4000000000015,694.8000000000029,716.6000000000058,735.0,740.0,745.0
num_3-5,60093.8,346.79999999999563,403.59999999999854,412.1999999999971,432.59999999999854,456.1999999999971,486.79999999999563,498.3999999999942,502.1999999999971,503.59999999999854,511.1999999999971
num_5+,57382.8,592.0,647.1999999999971,653.1999999999971,683.7999999999956,700.0,756.1999999999971,774.3999999999942,793.3999999999942,813.7999999999956,820.7999999999956
