number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
num_0,42753.4,399.79999999999563,437.1999999999971,459.1999999999971,502.40000000000146,516.5999999999985,526.0,527.5999999999985,548.4000000000015,568.0,575.7999999999956
num_1,57776.4,460.79999999999563,530.7999999999956,542.7999999999956,593.1999999999971,619.7999999999956,623.5999999999985,623.7999999999956,626.7999999999956,647.0,661.0
num_2,63541.0,365.40000000000146,432.40000000000146,459.8000000000029,514.0,540.1999999999971,549.0,558.8000000000029,570.5999999999985,571.5999999999985,579.0
num_2+,66657.0,357.6000000000058,401.6000000000058,426.6000000000058,474.6000000000058,487.8000000000029,500.8000000000029,507.6000000000058,508.0,521.8000000000029,524.3999999999942
