number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
num_0,54144.8,330.3999999999942,1192.3999999999942,1574.0,2045.5999999999985,2433.399999999994,2621.199999999997,2800.7999999999956,2963.199999999997,3062.0,3158.399999999994
num_1,66890.4,236.8000000000029,650.6000000000058,940.8000000000029,1237.0,1430.6000000000058,1539.0,1622.800000000003,1746.4000000000087,1855.0,1986.0
num_2,72644.8,264.3999999999942,484.8000000000029,689.1999999999971,882.1999999999971,1014.1999999999971,1120.800000000003,1231.0,1344.199999999997,1414.0,1501.5999999999913
num_2+,80205.8,333.8000000000029,579.1999999999971,726.8000000000029,905.0,1011.8000000000029,1104.199999999997,1193.5999999999913,1261.3999999999942,1320.800000000003,1417.0
