number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
num_0,53274.0,11089.0,14639.600000000006,18070.399999999994,25263.399999999994,25549.600000000006,25846.600000000006,27449.800000000003,30040.199999999997,32642.399999999994,33343.0
num_1,66185.0,16084.399999999994,18523.600000000006,26406.199999999997,32573.0,33156.8,34134.600000000006,35975.8,36587.600000000006,37025.600000000006,37526.0
num_2,72125.6,24495.0,28822.59999999999,33307.59999999999,35447.79999999999,36210.399999999994,36541.79999999999,36942.59999999999,37465.2,37836.0,38038.399999999994
num_2+,78522.4,13567.200000000012,20854.600000000006,22104.0,22595.40000000001,26236.600000000006,28772.0,28938.600000000006,29273.0,29460.0,29880.600000000006
