number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
0.5k,116324.6,864.679999999993,1010.8800000000047,1439.199999999997,1596.9600000000064,1955.0800000000017,2173.75999999998,2526.0,2686.479999999996,2811.0800000000017,2995.7333333333227
1k,111001.4,725.5599999999977,959.9199999999983,1060.2000000000116,1111.2399999999907,1224.7600000000093,1338.7200000000012,1546.1199999999953,1624.5600000000122,1681.0399999999936,1735.4666666666599
1.5k,112346.8,444.5600000000122,609.1600000000035,633.6399999999849,641.6799999999785,696.4799999999959,800.3199999999924,963.3600000000006,981.1199999999953,1031.0,1053.6666666666715
2k,110071.0,453.5600000000122,570.0399999999936,727.6000000000058,734.4399999999878,775.3600000000151,800.5599999999831,855.6800000000076,881.2400000000198,964.3600000000151,1104.0666666666657
2k+,123055.0,292.3999999999942,325.4399999999878,385.8000000000029,476.3999999999942,505.72000000000116,509.3999999999942,515.6799999999785,556.1600000000035,575.3999999999942,610.5333333333256
