number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
0.5k,122240.0,7138.949999999997,9993.350000000006,12274.899999999994,13632.149999999994,14904.399999999994,16106.950000000012,17120.54999999999,18069.350000000006,18658.850000000006,19436.5
1k,125093.66666666667,7237.3333333333285,10024.46666666666,12293.46666666666,14197.466666666689,15869.933333333363,17060.73333333335,18148.066666666666,19011.199999999997,19923.40000000001,20625.66666666667
1.5k,126522.66666666667,6340.3333333333285,8418.933333333334,11047.799999999974,12734.39999999998,14297.46666666666,15979.799999999974,17086.26666666665,18036.800000000003,18748.66666666667,19002.999999999985
2k,126935.0,6207.733333333337,8887.86666666664,11388.533333333355,13027.933333333349,14169.799999999988,15150.066666666651,16390.266666666663,17098.600000000006,17841.333333333314,18079.555555555562
2k+,140185.0,3252.7999999999884,5114.399999999994,7142.700000000012,8577.450000000012,9654.850000000006,10608.25,11678.200000000012,12272.0,12829.600000000006,13177.25
