number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
0.5k,121621.2,574.2800000000134,1052.5599999999831,1536.3600000000151,1921.4800000000105,2190.600000000006,2479.8800000000047,2678.0400000000227,2850.2800000000134,3064.0399999999936,3218.8666666666686
1k,125383.4,310.0800000000163,608.0800000000163,968.7200000000012,1244.5600000000122,1447.0,1686.7599999999948,1901.159999999989,2062.9199999999983,2233.520000000004,2367.7333333333518
1.5k,125521.4,196.52000000000407,328.36000000001513,532.0800000000163,611.2800000000134,878.4000000000087,1002.5200000000041,1153.160000000018,1264.640000000014,1389.7599999999948,1462.7333333333518
2k,127202.6,336.59999999999127,622.9599999999773,845.0,1147.8799999999756,1348.199999999997,1544.1599999999744,1751.679999999993,1979.3600000000006,2112.479999999996,2281.9333333333198
2k+,140310.6,281.95999999999185,543.2799999999988,657.6000000000058,799.640000000014,1021.7200000000012,1183.0799999999872,1351.4799999999814,1482.9599999999919,1655.6000000000058,1797.2666666666628
