number,0h,0.5h,1h,1.5h,2h,2.5h,3h,3.5h,4h,4.5h,5h
0.5k,121144.4,34959.80000000002,40289.04000000001,42179.24000000002,43436.20000000001,43868.360000000015,44514.080000000016,45773.04000000001,46719.16,47486.120000000024,48113.533333333326
1k,124223.2,35304.03999999999,37485.08,39488.71999999999,40506.40000000001,41094.88000000002,41781.40000000001,43063.15999999999,43956.92,44666.720000000016,45229.26666666665
1.5k,123507.6,32422.880000000005,38304.43999999997,40561.360000000015,41555.600000000006,42127.360000000015,42920.84,44147.67999999999,45054.00000000003,45832.68000000002,46260.73333333334
2k,125697.0,30204.839999999997,32204.559999999998,34024.600000000006,37919.79999999999,38400.84,39303.76000000001,40583.0,41173.360000000015,44753.56,45089.73333333334
2k+,138028.0,18921.879999999976,22518.399999999994,24192.75999999998,25152.399999999994,25813.72,26955.440000000002,27906.120000000024,28929.920000000013,32426.679999999993,33093.93333333332
